,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
48,2015-02-18,1076.1862586626662,74070.33220534388,-5173.34212922891,7325.241412647566,1076.1862586626662,1076.1862586626662,0.09679763683367203,0.09679763683367203,0.09679763683367203,0.0013956591508762046,0.0013956591508762046,0.0013956591508762046,0.09540197768279582,0.09540197768279582,0.09540197768279582,0.0,0.0,0.0,1180.3585452940831
49,2015-02-19,1077.5211304029003,74070.33220534388,-5019.369987262482,7786.7999254181195,1077.5211304029003,1077.5211304029003,0.1018034934062927,0.1018034934062927,0.1018034934062927,-0.0011954409999901864,-0.0011954409999901864,-0.0011954409999901864,0.10299893440628288,0.10299893440628288,0.10299893440628288,0.0,0.0,0.0,1187.216545697013
50,2015-02-20,1078.8576334093063,74070.33220534388,-5256.284895550916,7811.403794812625,1078.8576334093063,1078.8576334093063,0.10917854017322343,0.10917854017322343,0.10917854017322343,-0.0008595703835033386,-0.0008595703835033386,-0.0008595703835033386,0.11003811055672677,0.11003811055672677,0.11003811055672677,0.0,0.0,0.0,1196.645734879673
51,2015-02-21,1080.1957696146117,74070.33220534388,-5047.496820145809,7118.39500031814,1080.1957696146117,1080.1957696146117,0.1160743251727046,0.1160743251727046,0.1160743251727046,-0.0004648475046093993,-0.0004648475046093993,-0.0004648475046093993,0.116539172677314,0.116539172677314,0.116539172677314,0.0,0.0,0.0,1205.578764627038
52,2015-02-22,1081.5355409536828,74070.33220534388,-5169.388842699944,7702.810147695853,1081.5355409536828,1081.5355409536828,0.12314422068618874,0.12314422068618874,0.12314422068618874,0.0006093948344019034,0.0006093948344019034,0.0006093948344019034,0.12253482585178685,0.12253482585178685,0.12253482585178685,0.0,0.0,0.0,1214.7203922888398
53,2015-02-23,1082.8769493635302,74070.33220534388,-5003.433001242619,7505.2261701422785,1082.8769493635302,1082.8769493635302,0.13031717227101153,0.13031717227101153,0.13031717227101153,0.0022477959797352538,0.0022477959797352538,0.0022477959797352538,0.12806937629127627,0.12806937629127627,0.12806937629127627,0.0,0.0,0.0,1223.9944113220447
54,2015-02-24,1084.2199967833042,74070.33220534388,-4918.27527014561,7760.732224716929,1084.2199967833042,1084.2199967833042,0.13146403447428362,0.13146403447428362,0.13146403447428362,-0.0017329910769076431,-0.0017329910769076431,-0.0017329910769076431,0.13319702555119126,0.13319702555119126,0.13319702555119126,0.0,0.0,0.0,1226.7559318181322
55,2015-02-25,1085.564685154303,74070.33220534388,-4834.441270767463,7686.181780423466,1085.564685154303,1085.564685154303,0.13937560383758454,0.13937560383758454,0.13937560383758454,0.0013956591508792414,0.0013956591508792414,0.0013956591508792414,0.1379799446867053,0.1379799446867053,0.1379799446867053,0.0,0.0,0.0,1236.8659186524415
56,2015-02-26,1086.911016419969,74070.33220534388,-5158.033960205689,7649.3339031807045,1086.911016419969,1086.911016419969,0.14129074073867437,0.14129074073867437,0.14129074073867437,-0.0011954409999967016,-0.0011954409999967016,-0.0011954409999967016,0.14248618173867106,0.14248618173867106,0.14248618173867106,0.0,0.0,0.0,1240.4814790469718
57,2015-02-27,1088.2589925258967,74070.33220534388,-4721.344317288784,7842.581675233626,1088.2589925258967,1088.2589925258967,0.14592788919496255,0.14592788919496255,0.14592788919496255,-0.0008595703835061041,-0.0008595703835061041,-0.0008595703835061041,0.14678745957846864,0.14678745957846864,0.14678745957846864,0.0,0.0,0.0,1247.0663302026373
58,2015-02-28,1089.608615419828,74070.33220534388,-4909.379590392141,7705.461700635491,1089.608615419828,1089.608615419828,0.15049207574299436,0.15049207574299436,0.15049207574299436,-0.00046484750460548934,-0.00046484750460548934,-0.00046484750460548934,0.15095692324759985,0.15095692324759985,0.15095692324759985,0.0,0.0,0.0,1253.586077701808
59,2015-03-01,1090.959887051663,74070.33220534388,-4683.453135039304,7828.274182626124,1090.959887051663,1090.959887051663,0.1556762912970277,0.1556762912970277,0.1556762912970277,0.0006093948343892574,0.0006093948343892574,0.0006093948343892574,0.15506689646263846,0.15506689646263846,0.15506689646263846,0.0,0.0,0.0,1260.79647622169
60,2015-03-02,1092.3128093734506,74070.33220534388,-5480.428695253931,7975.122867756892,1092.3128093734506,1092.3128093734506,0.16143450189969943,0.16143450189969943,0.16143450189969943,0.002247795979744321,0.002247795979744321,0.002247795979744321,0.15918670591995512,0.15918670591995512,0.15918670591995512,0.0,0.0,0.0,1268.649783673315
61,2015-03-03,1093.6673843394026,74070.33220534388,-4910.445092132274,7706.139342001016,1093.6673843394026,1093.6673843394026,0.16164763839259222,0.16164763839259222,0.16164763839259222,-0.001732991076906981,-0.001732991076906981,-0.001732991076906981,0.1633806294694992,0.1633806294694992,0.1633806294694992,0.0,0.0,0.0,1270.4561342048705
62,2015-03-04,1095.0236139058848,74070.33220534388,-4889.973546572709,7766.5685758517775,1095.0236139058848,1095.0236139058848,0.16910167936555048,0.16910167936555048,0.16910167936555048,0.0013956591508789205,0.0013956591508789205,0.0013956591508789205,0.16770602021467157,0.16770602021467157,0.16770602021467157,0.0,0.0,0.0,1280.193945962304
